distractor,target,set,ans,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,image_4_stopped,wait_img_started,wait_img_stopped,key_resp_3_keys,key_resp_3_rt,image_5_started,image_5_stopped,ins_rep_img_started,ins_rep_img_stopped,st_prac_back_started,st_prac_back_stopped,prac_img_started,prac_img_stopped,st_fix_back_started,st_fix_back_stopped,st_fix_2_started,st_fix_2_stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back_started,st_back_stopped,st2_resp_keys,st2_resp_corr,st_main_back_started,st_main_back_stopped,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,mouse_4_started,mouse_4_stopped,main_key_keys,main_key_started,main_key_stopped,main_img_started,main_img_stopped,contineu_block_started,contineu_block_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
positive,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,0,24,8,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.49637760000769,428.140013700002,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,1,25,3,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.48355340003036,430.638938299962,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,2,26,10,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,1.28242569998838,433.122853599954,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,3,27,0,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,1.18116939999163,435.404754000017,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,4,28,2,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,1.49739010003395,437.590605900041,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,5,29,5,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.48000459989998,440.084157500067,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,6,30,7,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.50893630005885,442.578610999975,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,blue,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,7,31,4,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.49814739997964,445.082311299979,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,yellow,1,None,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,8,32,6,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,None,None,1,1.48385830002371,447.58985400002,None,None,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
positive,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,9,33,11,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,1.00562579999678,450.066125100013,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
neutral,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,10,34,1,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,1.0805251999991,452.074878099957,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
negative,red,1,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,2,11,35,9,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,main,k,k,1,0.992011299938895,454.157189300051,None,None,0,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,0,2,0,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,,,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,456.147122900002,None,space,4.14487289998215,456.147122900002,None,NaN,,203,2023-08-15_12h37.33.874,Main,2022.1.1,30.1757344278071
,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,,,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,460.362590500037,None,NaN,,,,NaN
